nome;endereco;ocupacao;depto;email;salario
Isadora Azevedo;Passarela Maria Eduarda da Cruz, 18,João Pinheiro,70141-776 Souza de da Costa / RS;Técnico em radiologia;Marketing;joao-miguel94@example.net;3931.2464466275405
Luiza Santos;Chácara Daniela Farias, 660,Conjunto Floramar,15263-707 Araújo / RR;Jogador de boliche;Marketing;natalia86@example.net;3283.457153674194
Dr. Levi Ferreira;Trecho Yuri Oliveira, 1,Granja De Freitas,08309-435 Martins / PA;Cancerologista ou Oncologista;RH;bmoura@example.org;4979.708506789738
Sra. Julia da Rocha;Avenida de Moura, 97,Vila Barragem Santa Lúcia,50966-175 Nunes / PB;Biomédico;TI;souzaana-clara@example.com;8079.376944786482
Eduarda Teixeira;Residencial Carvalho, 10,Granja De Freitas,85975375 Jesus das Pedras / PA;Clínico geral;RH;nteixeira@example.net;7030.172596740308
Joana Carvalho;Vila Rafael Martins, 25,Nova America,11261845 Farias do Galho / PE;Urologista;RH;leonardo02@example.com;7519.49542792508
Enzo Gabriel Azevedo;Rodovia de Santos,Mariquinhas,82652-055 Fernandes / BA;Embalador;Marketing;csouza@example.net;8295.630475354308
Isabel Jesus;Núcleo de Araújo, 167,São Francisco Das Chagas,89174-337 Jesus / ES;Engenheiro de minas;Financeiro;scunha@example.com;6430.047803219422
Ryan Nogueira;Colônia Costa, 16,Custodinha,66860040 Costela / RJ;Urbanista;RH;kamillynascimento@example.net;7192.084644752299
Dra. Fernanda da Mata;Ladeira de Costela, 27,Marilandia,75671186 Correia / PB;Bóia-fria;RH;brunamendes@example.net;1375.3418583704085
Thiago Ribeiro;Fazenda Maria Julia Rocha, 43,Solimoes,83924-253 Farias das Pedras / BA;Construtor;RH;emanuel88@example.net;6764.4439449415295
Marina Carvalho;Núcleo Breno da Rocha,Estoril,08074006 Moura da Praia / PA;Traumatologista;Financeiro;luiz-gustavo19@example.com;3076.398008342836
Emilly Barros;Favela de Barros, 93,Miramar,48751-442 Moraes / PA;Gastrônomo;Marketing;brenoalves@example.org;8819.719629930933
Nina Porto;Feira Cecília Barros, 8,Vila Barragem Santa Lúcia,34334-946 Alves de da Costa / RJ;Fresador;TI;freitasmariane@example.com;7470.177642217986
Raul Barros;Pátio de da Mota, 54,Carlos Prates,30933356 Freitas / RR;Recepcionista;Marketing;nascimentokevin@example.com;5128.713979632947
Otávio Cunha;Loteamento Lorenzo Cardoso,São João,69927025 Lima de Jesus / GO;Fisioterapeuta;RH;imonteiro@example.org;3917.5999119612416
Sr. Rodrigo Viana;Chácara Ribeiro, 5,Flavio De Oliveira,10516760 Cardoso / PI;Marcador de luz;RH;mendesmanuela@example.org;5013.6095785784055
Sr. Rafael Correia;Vila de Viana, 9,Vila Atila De Paiva,30744-825 Azevedo da Prata / MT;Nefrologista;Financeiro;fernandesclara@example.org;6991.514417275102
Benjamin Rezende;Setor Nathan da Costa, 22,Conjunto Santa Maria,70202-554 Cunha / PB;Comandante;Marketing;fcaldeira@example.net;8444.172447100174
Camila Viana;Residencial Laís Almeida, 37,Goiania,78544169 Duarte das Flores / PR;Tecnólogo em irrigação e drenagem;Marketing;isaac07@example.com;6026.246624703504
Luiz Fernando Cardoso;Colônia Peixoto, 60,Mariquinhas,85476737 Lima / PE;Intérprete e tradutor de língua de sinais;Marketing;vieirayasmin@example.org;2572.5193774637046
Heloísa Ribeiro;Campo Sales, 86,Conjunto São Francisco De Assis,12393-797 Correia / SP;Mergulhador;Marketing;xcostela@example.com;7425.461552188485
Gabrielly Fogaça;Condomínio Vicente Martins, 87,Planalto,47086087 Almeida / PA;Veterinário;RH;maria-fernandaviana@example.com;2581.651641349893
Bianca Rodrigues;Jardim das Neves, 30,Túnel De Ibirité,60699-155 Moraes Paulista / RN;Oficial de justiça;RH;otaviosouza@example.net;1467.110559516457
Stella Costa;Sítio de Teixeira, 48,Maravilha,03431-492 Cardoso / RR;Cineasta;RH;ana57@example.org;8714.496466115488
Sr. Heitor Barros;Jardim Moura, 88,Parque São José,53964-525 Mendes / PA;Assistente social;Financeiro;alvesmarina@example.net;8689.677144964407
Bryan Araújo;Setor Ferreira, 6,Xodo-Marize,23187365 Gomes da Mata / RJ;Secretária;Financeiro;da-conceicaomaria-alice@example.net;1514.0830772614538
Renan Costa;Favela Costela, 27,Bonfim,47371069 da Mota / ES;Gastrônomo;Financeiro;maria-fernandanogueira@example.com;5359.999581843382
Bernardo Aragão;Vereda Carvalho,Vila Da Luz,24833-080 Souza / DF;Profissional de recursos humanos;TI;antonio51@example.org;4287.669773604941
João Lucas Azevedo;Quadra Marina da Rosa, 3,Novo Santa Cecilia,64803-188 Oliveira de Goiás / PE;Tecnólogo em navegação fluvial;TI;salesantonio@example.com;6176.315196554749
Luiz Felipe Nascimento;Área de Araújo, 35,Serra,23308721 da Cruz / RJ;Levantador de peso;Financeiro;nicolasda-cruz@example.org;7928.289862891664
Sabrina Moura;Travessa Pietro Novaes, 58,Santo André,08575634 Almeida da Serra / MT;Historiador;Financeiro;hcunha@example.net;4908.650448470555
Nicole Ferreira;Estação Ana Vitória da Rosa, 23,Vila Aeroporto,00033972 Vieira / MG;Implantodontista;Financeiro;emanuelly81@example.net;5199.344783776156
Ana Luiza Farias;Quadra Freitas, 98,Novo Aarão Reis,86876-266 Almeida dos Dourados / PB;Dublador;RH;vitorazevedo@example.org;8125.979574183003
Lívia da Mota;Trevo de Campos, 84,Canaa,89961552 Gonçalves / SE;Frentista;RH;joao43@example.org;1462.4498690713356
Mariana Moreira;Estação Bruno Silva, 73,Vila Sesc,90649-104 Vieira / RN;Cinematográfo;RH;ana-livia14@example.com;4626.630822189363
Ana Beatriz Ramos;Esplanada de Cunha, 30,Conjunto Celso Machado,90114384 Moraes das Pedras / PI;Sapateiro;Marketing;silveirajoana@example.org;3156.912020022818
Heloísa Farias;Morro Castro, 31,Vila De Sá,36933328 Fogaça das Pedras / AC;Implantodontista;Financeiro;rocharebeca@example.net;5360.118852158643
Dr. Lucas Nogueira;Setor Ana Luiza Pinto, 19,Tres Marias,10778363 Correia do Sul / SC;Engenheiro agrícola;TI;da-motamaria-alice@example.com;2160.884487332513
Camila Araújo;Viaduto Farias,Jardinópolis,37194-044 Barros de Monteiro / CE;Adestrador de animais;RH;diogocunha@example.org;2798.2708029561463
Pedro Almeida;Trevo Viana, 77,Jardim América,41311-318 Nogueira / SC;Clarinetista;RH;apeixoto@example.com;1612.7212094050924
Sra. Maria Sophia Silva;Loteamento Farias, 47,Mala E Cuia,08749-976 Moreira / RN;Agente funerário;RH;emanuellyalves@example.org;6725.170213973627
Lorena Gomes;Conjunto de Santos, 484,Nossa Senhora Do Rosário,31108-189 Teixeira de Goiás / PA;Sapateiro;TI;correiaaugusto@example.org;5395.275779140432
Isabella Barros;Distrito João Lucas Santos, 924,Ermelinda,06556367 Rodrigues das Flores / PB;Anestesiologista;Financeiro;bmoraes@example.net;4467.4113262975625
Dra. Sophia Fernandes;Lagoa Porto, 84,Carlos Prates,36720592 Caldeira das Flores / DF;Lixeiro/Coletor de lixo;Marketing;clara75@example.com;6976.28898260774
Sra. Alice Carvalho;Estação da Paz, 813,Jardim Dos Comerciarios,41435255 Sales / PB;Tecnólogo em silvicultura;RH;fogacanoah@example.com;2706.144317779954
Davi Lucas Monteiro;Lago Eduarda Moura, 5,Caiçara - Adelaide,05630701 Souza de da Costa / PI;Representante comercial;Financeiro;raquelda-costa@example.org;6320.84849946002
Thomas Santos;Travessa Melo, 50,São Paulo,08125219 Cardoso de Campos / CE;Caixa;Financeiro;gabrielrezende@example.net;7020.868362432753
Luna da Luz;Viaduto Joaquim Souza, 67,Vila Jardim Alvorada,40925614 Cardoso da Serra / MS;Corredor de atletismo;Financeiro;juansilveira@example.org;5855.487849018157
Mirella Gomes;Residencial Luiz Henrique Nascimento,Estrela Do Oriente,40074-994 das Neves / ES;Separador;Financeiro;thiagooliveira@example.com;9213.509668308667
Erick Barbosa;Passarela Ryan Fogaça, 349,João Pinheiro,28983-135 da Rocha / GO;Naturólogo;Financeiro;ucosta@example.com;5962.089407794644
Sr. Davi Lucca Ferreira;Área Dias, 65,Parque São Pedro,43783239 Cardoso / RO;Taifeiro;RH;tda-rosa@example.net;3614.1697162829396
Fernanda Alves;Praça Araújo, 7,São Luiz,42389118 Nogueira / MS;Cortador de cana-de-açucar;TI;cardosoamanda@example.org;5099.532134115627
Otávio Jesus;Largo de Caldeira, 3,Alto Caiçaras,18338-030 Monteiro / TO;Músico;Financeiro;rbarros@example.org;6637.5105130158045
Guilherme Castro;Estação Luiz Felipe Viana, 85,Flavio Marques Lisboa,07454538 Cunha da Prata / SP;Engenheiro elétrico;RH;oliveiracecilia@example.org;6388.820381717991
Davi Luiz Moreira;Residencial de Cardoso, 72,Grajaú,08679-844 Barros do Campo / RN;Degustador;RH;mirellanunes@example.org;6917.965801900449
Theo Mendes;Rodovia Duarte, 4,Pedreira Padro Lopes,14029455 Pires / RN;Cenotécnico;TI;xda-conceicao@example.net;7734.675399041165
Gustavo Nunes;Estação da Paz, 87,Lagoinha,62070571 Teixeira das Pedras / RN;Pastilheiro;TI;paraujo@example.com;3645.011643362201
Vinicius Cunha;Vereda Stella Rocha, 23,Vila São Gabriel Jacui,19622677 Almeida das Pedras / PI;Profissional de linguística;TI;benjamindas-neves@example.net;6920.145402390865
Letícia Jesus;Chácara Ana Costa, 273,Vila Calafate,76046-574 Sales / AL;Consultor de moda;Financeiro;qalves@example.com;8823.806027991082
Dr. Miguel Correia;Residencial Rocha, 90,Conjunto Celso Machado,44632-071 Rocha do Norte / CE;Controlador de vôo;Financeiro;ccunha@example.org;7652.869547631899
Milena da Cruz;Estrada Viana,Virgínia,47773-881 Sales dos Dourados / PB;Cinegrafista;Marketing;juliana41@example.net;7751.9457807463095
Ana Vitória Almeida;Condomínio Maria Fernanda Ribeiro, 69,Rio Branco,71623-215 da Rocha do Campo / RR;Radialista;RH;cmoreira@example.org;4859.812885546445
Gabriel Martins;Jardim de Campos,Boa Esperança,03928637 Ramos Verde / RS;Copeiro;Marketing;zda-rocha@example.org;9842.211571160917
Mirella Gonçalves;Feira de Porto,Maria Tereza,29829880 Pinto / GO;Ferroviário;RH;wdias@example.com;8897.537324001321
Nicolas Campos;Residencial de Silva,Jardim Alvorada,30088-984 Pereira de Cardoso / DF;Garimpeiro;Financeiro;da-rosavitor-gabriel@example.org;7120.201623688635
Ana Sophia Silva;Avenida Nina Campos, 46,Buritis,63417223 Moreira das Pedras / RR;Esgrimista;Financeiro;ianalves@example.org;5925.38248267299
